Country Name,GDP growth
Afghanistan,2.59554245325748
Albania,3.84136366608277
Algeria,1.70000000003184
American Samoa,..
Andorra,1.87319661596112
Angola,0.721699271937197
Antigua and Barbuda,3.33704921545255
Argentina,2.86392289725737
Armenia,7.49999999906528
Aruba,..
Australia,1.95757542160659
Austria,3.03527267887569
Azerbaijan,0.0999998139003679
Bahamas The,1.43719133908083
Bahrain,3.88483053415689
Bangladesh,7.28420837706373
Barbados,1.67106420404612
Belarus,2.42190626735157
Belgium,1.72976676241763
Belize,0.883603673387739
Benin,5.58419508102699
Bermuda,..
Bhutan,6.81877770547632
Bolivia,4.19520701912501
Bosnia and Herzegovina,3.03138827468106
Botswana,2.3591970823241
Brazil,0.976085681375949
British Virgin Islands,..
Brunei Darussalam,1.32875139470671
Bulgaria,3.56164285603617
Burkina Faso,6.74265354235169
Burundi,0.519139010390006
Cabo Verde,3.89133523258904
Cambodia,6.81472361786084
Cameroon,3.17708470588063
Canada,3.04735068075965
Cayman Islands,..
Central African Republic,4.29993805303965
Chad,-2.95377154892373
Channel Islands,..
Chile,1.48990600446166
China,6.90000000000013
Colombia,1.76807177799586
Comoros,2.49999999999999
Congo Dem. Rep.,3.70085074967523
Congo Rep.,-4.58908357790095
Costa Rica,3.19180372438194
Cote d'Ivoire,7.79700562748845
Croatia,2.77828266103268
Cuba,..
Curacao,..
Cyprus,3.87975476788766
Czech Republic,4.28907894123351
Denmark,2.24013892207479
Djibouti,4.09026362770027
Dominica,-4.21352941714788
Dominican Republic,4.55181513818401
Ecuador,2.99815293400643
Egypt Arab Rep.,4.18122099994787
El Salvador,2.32259743762357
Equatorial Guinea,-3.22022814221914
Eritrea,..
Estonia,4.85413682907068
Ethiopia,10.245810850259
Faroe Islands,..
Fiji,3.80000008845506
Finland,2.63425474595638
France,1.81940018089266
French Polynesia,..
Gabon,1.10471933167229
Gambia The,3.50000013187031
Georgia,4.98609475963418
Germany,2.2228247553612
Ghana,8.50715621899067
Gibraltar,..
Greece,1.35132838862349
Greenland,..
Grenada,3.73032073171937
Guam,..
Guatemala,2.76032947271952
Guinea,8.24984422988283
Guinea-Bissau,5.91897567049733
Guyana,2.92466831277953
Haiti,1.17327950545638
Honduras,4.78529790989262
Hong Kong SAR China,3.79134855964568
Hungary,3.98871036965851
Iceland,3.64222680238824
India,6.62422711604482
Indonesia,5.06768027408975
Iran Islamic Rep.,4.30001508079721
Iraq,-0.780088427570291
Ireland,7.80238160809412
Isle of Man,..
Israel,3.3315627940097
Italy,1.50229137197273
Jamaica,0.481488515870467
Japan,1.71258113108748
Jordan,1.97002375051609
Kazakhstan,3.99999999963237
Kenya,4.8854444803255
Kiribati,3.10280700718641
Korea Dem. People’s Rep.,..
Korea Rep.,3.06276846243263
Kosovo,4.46609985599589
Kuwait,-2.86643105398004
Kyrgyz Republic,4.58363839829128
Lao PDR,6.89274796631018
Latvia,4.5493377006941
Lebanon,2.02083239557724
Lesotho,5.5908766710687
Liberia,2.45459643673698
Libya,26.6758703165806
Liechtenstein,..
Lithuania,3.82893627290288
Luxembourg,2.29794130565615
Macao SAR China,9.09610368100699
Macedonia FYR,0.0202036899284508
Madagascar,4.17079476586513
Malawi,4.00003051653042
Malaysia,5.90176922237052
Maldives,8.8284560571562
Mali,5.29999999967936
Malta,6.42248931445086
Marshall Islands,2.50000000000001
Mauritania,3.49999999999999
Mauritius,3.79999999999998
Mexico,2.03658583416961
Micronesia Fed. Sts.,1.99999999999999
Moldova,4.49999989979695
Monaco,..
Mongolia,5.88462457990151
Montenegro,4.30000405578322
Morocco,4.10000000687079
Mozambique,3.7106974241939
Myanmar,6.36884052643458
Namibia,-0.770335374082606
Nauru,4.15468510415921
Nepal,7.49940228855344
Netherlands,3.16221229332892
New Caledonia,..
New Zealand,3.02865704250725
Nicaragua,4.8610949762172
Niger,4.8945165911239
Nigeria,0.814544029729689
Northern Mariana Islands,..
Norway,1.91874591198309
Oman,-0.272675200288305
Pakistan,5.7006212410121
Palau,-3.72047836816589
Panama,5.35652126574577
Papua New Guinea,2.2
Paraguay,0.772051674391733
Peru,2.52743067809553
Philippines,6.68451750279448
Poland,4.55038692287629
Portugal,2.6798271030685
Puerto Rico,..
Qatar,1.5961315037523
Romania,6.94707469361755
Russian Federation,1.5456302290946
Rwanda,6.10059404835408
Samoa,2.50000000000001
San Marino,1.23604465709728
Sao Tome and Principe,3.87496022120715
Saudi Arabia,-0.735462898771829
Senegal,6.78708045023151
Serbia,1.86742889618696
Seychelles,4.20000000000003
Sierra Leone,4.15766205148933
Singapore,3.61854233591816
Sint Maarten (Dutch part),..
Slovak Republic,3.40016631107987
Slovenia,5.00080822229401
Solomon Islands,3.23841714732924
Somalia,..
South Africa,1.32006116965503
South Sudan,..
Spain,3.05171961619506
Sri Lanka,3.11255809494433
St. Kitts and Nevis,1.74309526642502
St. Lucia,2.69031205078019
St. Martin (French part),..
St. Vincent and the Grenadines,1.59635119726337
Sudan,4.28307100401813
Suriname,0.0954805856142542
Eswatini,2.00062595843988
Sweden,2.28811587026492
Switzerland,1.08679221938421
Syrian Arab Republic,..
Tajikistan,7.10000070763577
Tanzania,7.10416126472153
Thailand,3.90297504194695
Timor-Leste,-8.00000000000003
Togo,5.56579104193331
Tonga,2.69999999999999
Trinidad and Tobago,-2.33601412405142
Tunisia,1.95512567537509
Turkey,7.41864397540321
Turkmenistan,6.50000004682975
Turks and Caicos Islands,..
Tuvalu,3.24158911848238
Uganda,3.96477988833888
Ukraine,2.50046747207364
United Arab Emirates,0.790400387794406
United Kingdom,1.787150984874
United States,2.27333854830167
Uruguay,2.65668445585696
Uzbekistan,5.29999999887707
Vanuatu,4.50068030474749
Venezuela RB,..
Vietnam,6.8122456596398
Virgin Islands (U.S.),..
West Bank and Gaza,3.14023678003269
Yemen Rep.,..
Zambia,4.07671549730144
Zimbabwe,3.44709514477464
